"","Post","Average_Severity"
"1"," whats your favorite song dbra i like too many songs to have a favorite",0
"2"," bra   haha jk ",0
"3"," quothey angel  you duh sexyquotbra really thanks haha",0
"4"," bra ",0
"5"," meowwwbra rawr",0
"6"," any makeup tips i suck at doing my makeup lolbra sure like tell me wht u wnna know like wht do you use",0
"7"," apriiiiiiiiiiiill i miss uuuu its emma btw hahabra emma hahahahah d i missssseddd yuhhhhh  ",0
"8"," are you a morning or night personbra night shuree",0
"9"," are you a trusting personbra alreadi answrd",0
"10"," are you a trusting personbra yes veryy trustin person may i help yuh",0
"11"," are you and truace best friendsbra ahaha yess of course aint dat rite truace  haha he so awesome tho bck off lol jk",0
"12"," are you more of a talker or more of a listenerbra listener definitely chuz i get cut off alot so i just listen or ignore pplz",0
"13"," are yuh single and ready  minglebra hahaha yup bhut not lookin  a man rite atm chuz dey much drama",0
"14"," ask me somethingbra ",0
"15"," bahahahahatook you longer enoughpgees girl hahahno its totally okay i just wanted to play guess who i am hahahai fuckinggg love you too bra hahahahhaahhahad ikrr im a slow american wht more can i say lmfaoo hahaha  aww hahaha",0
"16"," bahahahahhaha pbra lmaoo",0
"17"," bitch u thee bomb like tick tickbra hahah thanks",1
"18"," can you please sing a cover of any justin bieber song dbra hahaha i dont sing lol so srry im horrible btw i dedicate quotsmilequot  yuh its playing",0
"19"," cats or dogsbra dogs im allergic  cats",0
"20"," chocolate or vanillabra chocolate bahah",0
"21"," definitely true d ive been learnin it for  years cuz ive frensh origins haha bra ahhh wow yrs man  its a gorgeous language i love it this is my first year learnin it haha newbie",0
"22"," did u watch bieber on oprahbra well sortaa i just got  wtch thee charice part shes awesome  hbu",0
"23"," do you believe in life after deathbra yes of course i do its called eternity with god in heaven",0
"24"," do you believe in luckbra yes  bhut i think luck is blessing from god actually in my opinion",0
"25"," do you believe theres intelligent life on other planetsbra if god created them then hellz yes",0
"26"," do you consider yourself a good dancerbra hahaha bitch i bring it lmao kinda i think lmao i hve some black in me so yes haha",0
"27"," do you have a bfbra nope  bhut not having a bf doesnt mean the world ends i guess im waiting  the   ya kno hbu mamas",0
"28"," do you have any favorite youtube starbra i have  actually justin bieber ofcourse ampamp scipio mondai",0
"29"," do you have any memories youd like to forgetbra actually i do just my whole experience with this fake a friend",1
"30"," do you have any piercingsbra yuppers nose and cartilage piercings",0
"31"," do you have any scars on your body  if so  howd you get thembra hahaha stranges",0
"32"," do you like atlanta  ga bra yes i love atl great place  live  wish i lived there d",0
"33"," do you think that a size  is fat im trying to be a size  by the end of the yearbra omg no way  is actually small dont change thee way you look  anyone bhut yourslf kay",0
"34"," do you think youre a good friendbra fuck yes i think i am haha",0
"35"," do you watch american idol if so  who are you voting for this seasonbra awww man you just reminded me i wtch it sometimes bhut i love big mike pplz are really wrong bout letting katie go argh  ",0
"36"," do yuh have any stalkersbra hell yes lots of them and thats including yuh",0
"37"," dont listen to the haters  you are prettybra d thank you gurlboy  i really appreciate it",0
"38"," favorite storebra atm rue d or forever ",0
"39"," fuck justin bieber hes a fucking fagbra um excuse yuh he is not ur a fuckin idiot kay good",1
"40"," growlbra meowld if thts a word haha",0
"41"," guesss who bra idk hoe get cha own cup of blackberry with a hint of lemon ice tea dayumm hahah jk brooke",0
"42"," haa you guessedd righhttttdr its maryyyy ahhh ilovee this picture mayb becuase youhr in it babebra off courrseeee dudee hahahahaha awhhh lol i think i love it  chuz im in it lol jk i love yuh",0
"43"," haaa its all qud  sorry abouht the quothoequot thinq  iwas mad lolbra lmfao haha nahh its my badd",0
"44"," haha so have u ever been to francebra pfftt nahhh i hve never been outta this country argh hve yuh haha",0
"45"," haha check inside ur closet u mind find out who it isbra lmao kk lemme get my ass off this toliet seat then ill check mwahah jk",0
"46"," haha nope im not tauisha eitheri talk to you alot on twitter bra omg tell me ughh grrr rawrr bianca lmao idkk tell me",0
"47"," hahah guess who bra mary lol hahahaha",0
"48"," hahah okey dokeysweet thangbra mwahaha sweet thang i love it",0
"49"," hahah funny how u defend that beiber kidbra amp its also funny how u stalked my whole twitter nice goin bitch",1
"50"," hahaha nope bra uhhhhh omg taquisha lol",0
"51"," have u ever licked thee floorbra hahaha yup its my job",1
"52"," have u seen justin bieber in person bra nope i wish  bhut hey i might someday rite hahahbu",0
"53"," have you broken any bones  if so  howbra haha nahh ive just fractured some thumbs bhut itz all good lol",0
"54"," have you ever been on itellyouthatcom go there and tell something to the world dbra hahah ohkay",0
"55"," have you ever had your heart brokenbra yup yupp",0
"56"," hehe yup  its awesome  but the pronunciation is incredibly haaard dbra haha it is haha lol man i hvnt even gotten  dat part yet fml hah",0
"57"," hello bitch hows ur day going good i hope  its beautiful and sunnybra ohh heyy bitchh its goin goodd thx  askin",0
"58"," hello my friend is also named aprilbra nicee",0
"59"," hellobra hey  hows yah momma",0
"60"," hellz yeahh of course im qoinqq i wannah b with you quys  like duhhbra ahahaha it wuzz funn lmao",0
"61"," hey my name is april too haha people named april are always cool lolbra hahaha ohh cool wait are yuh thee april on twitter april haha yay we beasts yo haa",0
"62"," hey youre an amazing nice and sweet girlpretty toobra awwhhhthank yuh jacob ur really nice might be my new bestie  thank yuh so much",0
"63"," hey why you such a bitchbra why thank yuh",1
"64"," heyyy abrilll iloveyhuuu muchooobra heyy marribbbiii lmao iloveyuhhh muchooo moeee are yuh goin tmrw",0
"65"," heyyyyyy how u doinbra im doing good thankyuhheyyy hbu",0
"66"," heyyyyyyyywats upbra heyy ghurrr wuzz upp haha nuttin much just busyy hbu ma",0
"67"," hi aprilbra heyy d",0
"68"," how many languages do u speakbra umm i think  bhut english is my first im learnin french d hbu",0
"69"," how old are u  and how do you know michaelbra who the hell are yuh and who tha fuck is michael",1
"70"," how would you describe your personalitybra hmmmpersonal root word lol umm probss bubbly  nice  honestsumtyms",0
"71"," how would you describe yourself in  wordsbra myself bubbly funny",0
"72"," i love your hairbra iloveyou thanks alot bhut its alot  keep up wit wanna trade haha",0
