"","Post_Ques","Post_Ans","Average_Severity"
"1","whats your favorite song dbr","i like too many songs to have a favorite",0
"2","","  haha jk ",0
"3","quothey angel  you duh sexyquot","really thanks haha",0
"4","","",0
"5","meowww","rawr",0
"6","any makeup tips i suck at doing my makeup lol","sure like tell me wht u wnna know like wht do you use",0
"7","apriiiiiiiiiiiill i miss uuuu its emma btw haha","emma hahahahah d i missssseddd yuhhhhh  ",0
"8","are you a morning or night person","night shuree",0
"9","are you a trusting person","alreadi answrd",0
"10","are you a trusting person","yes veryy trustin person may i help yuh",0
"11","are you and truace best friends","ahaha yess of course aint dat rite truace  haha he so awesome tho bck off lol jk",0
"12","are you more of a talker or more of a listener","listener definitely chuz i get cut off alot so i just listen or ignore pplz",0
"13","are yuh single and ready  mingle","hahaha yup bhut not lookin  a man rite atm chuz dey much drama",0
"14","ask me something","",0
"15","bahahahahatook you longer enoughpgees girl hahahno its totally okay i just wanted to play guess who i am hahahai fuckinggg love you too ","hahahahhaahhahad ikrr im a slow american wht more can i say lmfaoo hahaha  aww hahaha",0
"16","bahahahahhaha p","lmaoo",0
"17","bitch u thee bomb like tick tick","hahah thanks",1
"18","can you please sing a cover of any justin bieber song d","hahaha i dont sing lol so srry im horrible btw i dedicate quotsmilequot  yuh its playing",0
"19","cats or dogs","dogs im allergic  cats",0
"20","chocolate or vanilla","chocolate bahah",0
"21","definitely true d ive been learnin it for  years cuz ive frensh origins haha ","ahhh wow yrs man  its a gorgeous language i love it this is my first year learnin it haha newbie",0
"22","did u watch bieber on oprah","well sortaa i just got  wtch thee charice part shes awesome  hbu",0
"23","do you believe in life after death","yes of course i do its called eternity with god in heaven",0
"24","do you believe in luck","yes  bhut i think luck is blessing from god actually in my opinion",0
"25","do you believe theres intelligent life on other planets","if god created them then hellz yes",0
"26","do you consider yourself a good dancer","hahaha bitch i bring it lmao kinda i think lmao i hve some black in me so yes haha",0
"27","do you have a bf","nope  bhut not having a bf doesnt mean the world ends i guess im waiting  the   ya kno hbu mamas",0
"28","do you have any favorite youtube star","i have  actually justin bieber ofcourse ampamp scipio mondai",0
"29","do you have any memories youd like to forget","actually i do just my whole experience with this fake a friend",1
"30","do you have any piercings","yuppers nose and cartilage piercings",0
"31","do you have any scars on your body  if so  howd you get them","hahaha stranges",0
"32","do you like atlanta  ga ","yes i love atl great place  live  wish i lived there d",0
"33","do you think that a size  is fat im trying to be a size  by the end of the year","omg no way  is actually small dont change thee way you look  anyone bhut yourslf kay",0
"34","do you think youre a good friend","fuck yes i think i am haha",0
"35","do you watch american idol if so  who are you voting for this season","awww man you just reminded me i wtch it sometimes bhut i love big mike pplz are really wrong bout letting katie go argh  ",0
"36","do yuh have any stalkers","hell yes lots of them and thats including yuh",0
"37","dont listen to the haters  you are pretty","d thank you gurlboy  i really appreciate it",0
"38","favorite store","atm rue d or forever ",0
"39","fuck justin bieber hes a fucking fag","um excuse yuh he is not ur a fuckin idiot kay good",1
"40","growl","meowld if thts a word haha",0
"41","guesss who ","idk hoe get cha own cup of blackberry with a hint of lemon ice tea dayumm hahah jk brooke",0
"42","haa you guessedd righhttttdr its maryyyy ahhh ilovee this picture mayb becuase youhr in it babe","off courrseeee dudee hahahahaha awhhh lol i think i love it  chuz im in it lol jk i love yuh",0
"43","haaa its all qud  sorry abouht the quothoequot thinq  iwas mad lol","lmfao haha nahh its my badd",0
"44","haha so have u ever been to france","pfftt nahhh i hve never been outta this country argh hve yuh haha",0
"45","haha check inside ur closet u mind find out who it is","lmao kk lemme get my ass off this toliet seat then ill check mwahah jk",0
"46","haha nope im not taquisha eitheri talk to you alot on twitter ","omg tell me ughh grrr rawrr bianca lmao idkk tell me",0
"47","hahah guess who ","mary lol hahahaha",0
"48","hahah okey dokeysweet thang","mwahaha sweet thang i love it",0
"49","hahah funny how u defend that beiber kid","amp its also funny how u stalked my whole twitter nice goin bitch",1
"50","hahaha nope ","uhhhhh omg taquisha lol",0
"51","have u ever licked thee floor","hahaha yup its my job",1
"52","have u seen justin bieber in person ","nope i wish  bhut hey i might someday rite hahahbu",0
"53","have you broken any bones  if so  how","haha nahh ive just fractured some thumbs bhut itz all good lol",0
"54","have you ever been on itellyouthatcom go there and tell something to the world d","hahah ohkay",0
"55","have you ever had your heart broken","yup yupp",0
"56","hehe yup  its awesome  but the pronunciation is incredibly haaard d","haha it is haha lol man i hvnt even gotten  dat part yet fml hah",0
"57","hello bitch hows ur day going good i hope  its beautiful and sunny","ohh heyy bitchh its goin goodd thx  askin",0
"58","hello my friend is also named april","nicee",0
"59","hello","hey  hows yah momma",0
"60","hellz yeahh of course im qoinqq i wannah b with you quys  like duhh","ahahaha it wuzz funn lmao",0
"61","hey my name is april too haha people named april are always cool lol","hahaha ohh cool wait are yuh thee april on twitter april haha yay we beasts yo haa",0
"62","hey youre an amazing nice and sweet girlpretty too","awwhhhthank yuh jacob ur really nice might be my new bestie  thank yuh so much",0
"63","hey why you such a bitch","why thank yuh",1
"64","heyyy abrilll iloveyhuuu muchooo","heyy marribbbiii lmao iloveyuhhh muchooo moeee are yuh goin tmrw",0
"65","heyyyyyy how u doin","im doing good thankyuhheyyy hbu",0
"66","heyyyyyyyywats up","heyy ghurrr wuzz upp haha nuttin much just busyy hbu ma",0
"67","hi april","heyy d",0
"68","how many languages do u speak","umm i think  bhut english is my first im learnin french d hbu",0
"69","how old are u  and how do you know michael","who the hell are yuh and who tha fuck is michael",1
"70","how would you describe your personality","hmmmpersonal root word lol umm probss bubbly  nice  honestsumtyms",0
"71","how would you describe yourself in  words","myself bubbly funny",0
"72","i love your hair","iloveyou thanks alot bhut its alot  keep up wit wanna trade haha",0
"73","i love youu chica","no no no i love youuu moreee d haha",0
"74","i love youuuuuuu ","ifuckinloveyou xox ha",0
"75","i speak english frensh and a little arabic cuz ive been to egypt a lotta times d","omg really cool thats so awesome yeah i wanna learn more languages bhut french is already enuff  deal wit ha",0
"76","i think ur not pretty sorry","oh thats wht i think too dnt be sorry hahaha silly goose",0
"77","im bored can you tell me something funny lool","hahah ohhkayy lol wht do you call a deer with no eyes i have no ideer haha classic  umm i suck at this haha",0
"78","if u live forever wat do u live for","idkkkgod not understndin this  srry its like am hah",0
"79","if you could ask barack obama one question what would it be","oh snap i would actually hug him first off ahah and say quotnigga where my weed goquot hahaha jkjkjk i love him he is doin a great job",0
"80","if you could ask george w bush one question what would it be","are you a lonely boy",0
"81","if you could be a star athlete in any sport  which sport would you pick","basketball",0
"82","if you could be invited to one persons birthday party  whose would it be","justin biebers bday parrtayy haha",0
"83","if you could be on one tv show which one would it be","keeping up with the kardashians or kendra my fav shows atmd",0
"84","if you could become any fictional character  who would you be","errmmharry potter lol",0
"85","if you could change your name  what would you change it to","thats a hard     thinkin maybe bustin jieber i think haha",0
"86","if you could date any celebrity  who would it be","justin bieber or channing tatum haha yumm",0
"87","if you could eat dinner with any person  dead or alive  who would it be and where would you go","michael jacko and subway doh",0
"88","if you could eliminate one thing you do each day in the bathroom so you never had to do it again  what would it be","put my towels back on the fckn rack lol im  lazy  do it bhut it looks trashy when i keep it on tha floor",0
"89","if you could go back in time  years and tell your younger self something  what would it be","life is never going to be easy",0
